word,file,mentions_in_file
aba,27 kometov.txt,3
aba,Bele gazele.txt,3
aba,Polna Pluča.txt,1
aba,Vanilla.txt,1
adam,K se vrnem.txt,1
aki,Kameleoni.txt,1
aki,Meduze.txt,5
aki,Mnogo premal.txt,1
amet,Ljubljana.txt,11
ami,Novi primitivizem.txt,1
ans,Aurora.txt,1
ans,Favela.txt,3
ans,Novi primitivizem.txt,25
asti,Mnogo premal.txt,1
aurora,Aurora.txt,4
avion,Zonzey.txt,1
bagre,Lilija.txt,2
bam,Kameleoni.txt,2
bam,"Skit, ki bo hit.txt",1
banda,Anakonda.txt,1
banda,Bele gazele.txt,1
banda,Gepek tok velk.txt,2
banda,MANA.txt,1
banda,Tri tri.txt,1
banda,V tvojem umu.txt,4
bando,Bambi.txt,1
bando,Sinovi Moje Madre.txt,1
bando,Skodelica čaja.txt,1
banki,Rdeče rože.txt,1
batman,Bomboni.txt,1
bela,Favela.txt,1
bela,Mrki Flow.txt,1
bela,Novi primitivizem.txt,1
bela,Raveland legende.txt,1
bela,Toro.txt,10
belem,Nebotičnik.txt,1
beli,1000 Kristalov.txt,1
beli,Anakonda.txt,1
beli,Aurora.txt,1
beli,Klik.txt,1
beli,Zlato v zobeh.txt,1
bend,Back and forth matter.txt,1
bere,Jiu Jitsu.txt,1
best,Anakonda.txt,1
best,Meduze.txt,1
beverly,Bomboni.txt,1
beverly hills,Bomboni.txt,1
bla,Alibi.txt,1
bla,Favela.txt,1
bla,MANA.txt,1
bol,Le le.txt,1
bol,Ljubljana.txt,1
bol,Sedimenti.txt,2
boli,Bambi.txt,1
boli,Favela.txt,4
boli,Satelit.txt,1
boli,"Skit, ki bo hit.txt",1
boli,Tri Sonca.txt,2
boli,Zonzey.txt,1
bombo,Laki.txt,2
bor,AB Raylight.txt,1
brandon,Polna Pluča.txt,1
bunde,Bambi.txt,1
bundi,Bomboni.txt,1
can,Back and forth matter.txt,7
can,Lover out the dark.txt,2
can,The Kid.txt,4
castro,Bambi.txt,1
cela,Favela.txt,2
cela,Krst pri Duplici.txt,3
cela,Nana.txt,1
cela,Novi primitivizem.txt,1
cela,Rdeče rože.txt,1
chicago,Dizeldorf.txt,1
come,Lover out the dark.txt,4
dali,Zlato v zobeh.txt,1
dam dam,Mrki Flow.txt,1
date,Gepek tok velk.txt,1
dej,Alibi.txt,2
dej,Aurora.txt,1
dej,Bambi.txt,3
dej,Bomboni.txt,1
dej,Dizeldorf.txt,1
dej,Gepek tok velk.txt,10
dej,Kameleoni.txt,2
dej,Krst pri Duplici.txt,3
dej,Laki.txt,2
dej,Ljubljana.txt,1
dej,Mnogo premal.txt,5
dej,Nana.txt,1
dej,Safari.txt,1
dej,Sophia.txt,4
dej,Velik Njega.txt,3
dej,Zonzey.txt,1
dila,Favela.txt,1
doba,AB Raylight.txt,1
dobo,Vanilla.txt,3
doda,V tvojem umu.txt,2
dolo,Nebotičnik.txt,7
dolores,Laki.txt,2
dolores,Zlato Rumeno.txt,1
doma,Aurora.txt,2
doma,Kameleoni.txt,1
doma,Zlato Rumeno.txt,1
doma,Zonzey.txt,4
dori,Krst pri Duplici.txt,1
drama,Bejrut.txt,1
edina,Skodelica čaja.txt,1
ena,Alibi.txt,1
ena,Krst pri Duplici.txt,3
ena,Le le.txt,3
ena,Mrki Flow.txt,1
ena,Polna Pluča.txt,1
ena,Rdeče rože.txt,1
ena,Velik Njega.txt,1
esna,Pimpin’ Piaf.txt,1
fontana,Bambi.txt,1
fortuna,Polna luna.txt,1
