canonical_toponym,matched_form,file,mentions_in_file
amerika,ameriki,Gepek tok velk.txt,1
arizona,arizona,Polna Pluča.txt,3
babilon,babilon,Dizeldorf.txt,1
babilon,babilon,V tvojem umu.txt,8
bejrut,bejrut,1000 Kristalov.txt,2
bejrut,bejrut,Bejrut.txt,4
berlin,berlina,27 kometov.txt,3
bosna,bosne,Raveland legende.txt,1
chicago,chicago,Dizeldorf.txt,1
duplica,duplica,Aurora.txt,1
duplica,duplica,Bele gazele.txt,1
duplica,duplica,Favela.txt,2
duplica,duplico,Jiu Jitsu.txt,1
duplica,duplici,Krst pri Duplici.txt,1
duplica,duplici,MANA.txt,1
duplica,duplici,Polna luna.txt,5
duplica,duplica,Safari.txt,1
duplica,duplici,Safari.txt,1
duplica,duplico,Safari.txt,1
duplica,duplice,Sedimenti.txt,1
duplica,duplici,Skodelica čaja.txt,1
duplica,duplici,Zonzey.txt,1
italija,italija,Laki.txt,1
italija,italija,Sedimenti.txt,1
kamnik,kamniku,Aurora.txt,1
kamnik,kamnk,Bambi.txt,1
kamnik,kamnk,Bele gazele.txt,1
kamnik,kamnik,Jiu Jitsu.txt,7
kamnik,kamnk,K se vrnem.txt,1
kamnik,kamnik,Kameleoni.txt,1
kamnik,kamniku,Kameleoni.txt,1
kamnik,kamnik,Konte.txt,1
kamnik,kamnik,Krst pri Duplici.txt,3
kamnik,kamnik,Laki.txt,1
kamnik,kamnik,Ljubljana.txt,1
kamnik,kamnik,Safari.txt,1
kamnik,kamnik,Sophia.txt,2
kamnik,kamnk,Toro.txt,3
kamnik,kamnik,Tri Sonca.txt,2
kamnik,kamnik,Tri tri.txt,1
kamnik,kamniku,Zonzey.txt,1
koper,koper,Favela.txt,2
ljubljana,ljubljana,Ljubljana.txt,13
ljubljana,ljubljana,Pimpin’ Piaf.txt,13
ljubljana,ljubljana,Rdeče rože.txt,2
ljubljana,ljubljana,Skodelica čaja.txt,1
mehika,mehike,Mnogo premal.txt,5
milano,milano,Meduze.txt,3
milano,milano,Sinovi Moje Madre.txt,2
rim,rim,Sinovi Moje Madre.txt,2
sumatra,sumatra,Šuma.txt,6
texas,texas,Safari.txt,1
tokio,tokio,Bejrut.txt,7
tokio,tokio,Bomboni.txt,1
