beseda,skladba,pojavnost,lat,lon
amerika,Gepek tok velk.txt,1,39.8283,-98.5795
arizona,Polna Pluča.txt,3,34.0489,-111.0937
babilon,Dizeldorf.txt,1,32.5422,44.42
babilon,V tvojem umu.txt,8,32.5422,44.42
bejrut,1000 Kristalov.txt,2,33.8938,35.5018
bejrut,Bejrut.txt,4,33.8938,35.5018
berlin,27 kometov.txt,3,52.52,13.405
bosna,Raveland legende.txt,1,43.9159,17.6791
chicago,Dizeldorf.txt,1,41.8781,-87.6298
duplica,Aurora.txt,1,46.2065,14.6008
duplica,Bele gazele.txt,1,46.2065,14.6008
duplica,Favela.txt,2,46.2065,14.6008
duplica,Jiu Jitsu.txt,1,46.2065,14.6008
duplica,Krst pri Duplici.txt,1,46.2065,14.6008
duplica,MANA.txt,1,46.2065,14.6008
duplica,Polna luna.txt,5,46.2065,14.6008
duplica,Safari.txt,3,46.2065,14.6008
duplica,Sedimenti.txt,1,46.2065,14.6008
duplica,Skodelica čaja.txt,1,46.2065,14.6008
duplica,Zonzey.txt,1,46.2065,14.6008
italija,Laki.txt,1,41.8719,12.5674
italija,Sedimenti.txt,1,41.8719,12.5674
kamnik,Aurora.txt,1,46.2259,14.6121
kamnik,Bambi.txt,1,46.2259,14.6121
kamnik,Bele gazele.txt,1,46.2259,14.6121
kamnik,Jiu Jitsu.txt,7,46.2259,14.6121
kamnik,K se vrnem.txt,1,46.2259,14.6121
kamnik,Kameleoni.txt,2,46.2259,14.6121
kamnik,Konte.txt,1,46.2259,14.6121
kamnik,Krst pri Duplici.txt,3,46.2259,14.6121
kamnik,Laki.txt,1,46.2259,14.6121
kamnik,Ljubljana.txt,1,46.2259,14.6121
kamnik,Safari.txt,1,46.2259,14.6121
kamnik,Sophia.txt,2,46.2259,14.6121
kamnik,Toro.txt,3,46.2259,14.6121
kamnik,Tri Sonca.txt,2,46.2259,14.6121
kamnik,Tri tri.txt,1,46.2259,14.6121
kamnik,Zonzey.txt,1,46.2259,14.6121
koper,Favela.txt,2,45.5481,13.7302
ljubljana,Ljubljana.txt,13,46.0569,14.5058
ljubljana,Pimpin’ Piaf.txt,13,46.0569,14.5058
ljubljana,Rdeče rože.txt,2,46.0569,14.5058
ljubljana,Skodelica čaja.txt,1,46.0569,14.5058
mehika,Mnogo premal.txt,5,23.6345,-102.5528
milano,Meduze.txt,3,45.4642,9.19
milano,Sinovi Moje Madre.txt,2,45.4642,9.19
rim,Sinovi Moje Madre.txt,2,41.9028,12.4964
sumatra,Šuma.txt,6,0.5897,101.3431
texas,Safari.txt,1,31.9686,-99.9018
tokio,Bejrut.txt,7,35.6762,139.6503
tokio,Bomboni.txt,1,35.6762,139.6503
