candidate,count
bliz,26
stripa,22
spred,20
stran,19
potih,17
oknom,10
neba,10
zlato,10
anakonde,9
kasi,9
majci,8
faci,8
sivo,8
otoku,7
mene,6
nebu,6
tuki,6
grani,6
poso,6
zvoka,6
njega,5
luni,5
tleh,5
mesta,5
selu,5
tebe,5
sebe,4
back,4
imenu,4
stropu,4
nami,4
kolesu,4
karti,4
lilije,4
grlu,4
mestu,4
babi,4
vrati,4
mute,4
rost,3
zlico,3
glavo,3
teme,3
usta,3
vedno,3
kolesih,3
cakro,3
zadne,3
postaji,3
partije,3
policah,3
rucak,3
streho,3
deset,3
strehi,3
vrsti,3
ladji,3
cesti,3
koncu,3
striptiz,3
punto,3
poker,3
pastelne,3
vodi,3
zida,3
kamn,3
dresu,3
tega,3
snajpo,3
haubo,3
treh,2
svetlobe,2
mleko,2
kevina,2
lenina,2
strazi,2
mano,2
đaba,2
zikovi,2
temo,2
bloki,2
bloka,2
prtu,2
stene,2
doma,2
steni,2
sebi,2
pare,2
sondo,2
drevesih,2
noge,2
obroke,2
vrat,2
levi,2
prej,2
jutra,2
njen,2
bloke,2
karla,2
najkrajsi,2
kaktus,2
streh,2
njenih,2
prjatle,2
vesti,2
dezju,2
prostozidarje,2
skrivnost,2
nosom,2
mars,2
omake,2
lavande,2
fekaliji,2
celu,2
brati,2
cesmi,2
brata,2
mangupa,2
labuda,2
laika,2
pravi,2
vasih,2
vrano,2
smeti,2
vile,2
kile,2
facebook,2
ebook,2
steklu,2
okej,2
krek,2
pomlad,2
metaverse,2
digitalno,2
hribu,2
sred,2
gobe,2
zazganih,1
rostilj,1
instagram,1
oblacnem,1
temne,1
cica,1
liftih,1
vrata,1
laki,1
kovancih,1
frende,1
lupo,1
faksu,1
tebi,1
meni,1
nevidne,1
auroro,1
skejtih,1
fell,1
kuskus,1
modre,1
rdece,1
pornic,1
sladkornih,1
smrti,1
stare,1
papije,1
lovor,1
tvoji,1
mizo,1
spanje,1
lipi,1
misi,1
zepa,1
karo,1
mami,1
kristalno,1
nebuloze,1
lune,1
fragolo,1
pusta,1
zljk,1
robu,1
replay,1
pakete,1
berette,1
njeno,1
snajper,1
pepela,1
vhodih,1
kosih,1
progi,1
obrazu,1
hali,1
mojga,1
luno,1
pumpo,1
mojo,1
plate,1
rejve,1
retro,1
kitajskem,1
finaka,1
tanka,1
soncu,1
palubo,1
vrtu,1
rami,1
vratu,1
rjavga,1
blokom,1
sceni,1
prizmo,1
posto,1
oblek,1
gozda,1
medvedovo,1
fuzinah,1
luci,1
megli,1
drobno,1
avta,1
ulci,1
meso,1
cike,1
petrol,1
zgori,1
lozo,1
zadnje,1
folije,1
drone,1
kungote,1
obleki,1
samem,1
zobmi,1
plece,1
ledu,1
koke,1
lotu,1
smecem,1
jessico,1
mizi,1
lilijo,1
nekih,1
tepih,1
zepih,1
zarometi,1
sliki,1
tartufato,1
svetlobi,1
pesek,1
svilo,1
toce,1
palmin,1
zrak,1
domu,1
srajci,1
plano,1
puhovo,1
mozga,1
cakrah,1
mamo,1
zarjaveli,1
jutr,1
pocasne,1
srecno,1
vogalom,1
kardinale,1
mrtvih,1
pomoc,1
vrane,1
kokovi,1
kriz,1
veji,1
zaveso,1
vrsticam,1
stopnicah,1
platnicah,1
princa,1
profila,1
kreti,1
nekdaj,1
ozvezdje,1
nasmehe,1
razlicne,1
esteta,1
gnezda,1
pickice,1
vklopi,1
benza,1
oaze,1
banje,1
varnem,1
begu,1
plin,1
body,1
sence,1
zavese,1
raju,1
kovter,1
kerih,1
celem,1
tvojo,1
